MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
500.00,184.00,92.00,177.00,3.90,0.70,0.36,0.17,0.26,31.00,-26.00,1.00,10.10,0.34,552.00,0.30,324.00,0.28,0.57,0.16,0.44
100.00,58.00,61.00,141.00,3.30,0.63,0.18,0.17,0.17,-153.00,-48.00,-7.70,8.00,0.23,395.00,0.23,238.00,0.22,0.65,0.31,0.34
100.00,92.00,84.00,176.00,3.20,0.62,0.21,0.16,0.18,15.00,2.00,1.60,8.40,0.24,419.00,0.24,245.00,0.23,0.52,0.27,0.24
100.00,23.00,126.00,282.00,2.40,0.70,0.05,0.27,0.33,-21.00,81.00,2.40,1.20,0.03,131.00,0.07,102.00,0.09,1.70,0.56,0.49
300.00,73.00,75.00,153.00,3.00,0.53,0.17,0.24,0.11,-87.00,65.00,-3.60,8.10,0.25,418.00,0.24,244.00,0.22,0.35,0.21,0.25
400.00,119.00,106.00,156.00,2.60,0.61,0.26,0.20,0.20,202.00,178.00,2.60,8.80,0.27,519.00,0.29,275.00,0.25,0.38,0.22,0.18
1600.00,106.00,86.00,266.00,4.30,0.72,0.21,0.21,0.38,158.00,180.00,3.40,6.30,0.17,284.00,0.16,208.00,0.19,0.43,0.37,0.35
1000.00,140.00,41.00,196.00,8.20,0.72,0.30,0.13,0.22,159.00,87.00,5.20,9.60,0.28,606.00,0.29,318.00,0.26,0.57,0.11,0.51
200.00,80.00,103.00,134.00,2.10,0.67,0.25,0.20,0.33,-151.00,-115.00,-1.60,8.90,0.27,456.00,0.28,258.00,0.25,0.38,0.14,0.18
200.00,80.00,99.00,166.00,2.50,0.76,0.25,0.18,0.35,-73.00,-54.00,1.30,5.70,0.15,237.00,0.15,194.00,0.19,0.38,0.29,0.43
100.00,80.00,94.00,247.00,3.50,0.67,0.16,0.19,0.35,-39.00,-22.00,0.40,5.80,0.15,248.00,0.14,194.00,0.17,0.40,0.32,0.46
