"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bang","Kwangdong Freecs","ADC",42,"38%","57%",152,95,150,3.2,"59.3%","29.9%","16.4%","24%",-67,33,-2.4,8.9,"28.8%",411,"22.1%",,283,"25.8%",,0.76,0.21,0.39
"BAO","DRX","ADC",47,"45%","47%",179,104,152,3.2,"63.9%","34.6%","17.4%","19%",-199,-157,-4.6,9.3,"29.8%",431,"22.4%",,291,"26.1%",,0.44,0.11,0.33
"Bay","Nongshim RedForce","Middle",42,"43%","64%",66,105,234,2.9,"63.0%","13.9%","19.1%","17%",-320,-190,-8.8,8.3,"25.2%",416,"22.3%",,232,"21.7%",,0.52,0.25,0.17
"Bdd","Gen.G","Middle",41,"68%","51%",121,64,213,5.2,"63.6%","23.0%","15.7%","12%",173,154,6.2,9.2,"24.8%",508,"28.4%",,275,"23.0%",,0.48,0.2,0.23
"BeryL","Dplus KIA","Support",43,"77%","65%",50,150,388,2.9,"67.7%","7.7%","30.9%","33%",136,164,4.7,1.7,"4.7%",219,"9.7%",,124,"10.1%",,1.54,0.52,0.47
"Blank","KT Rolster","Jungle",17,"53%","35%",44,41,117,3.9,"63.4%","17.3%","18.7%","41%",-121,-146,-3.9,5.8,"15.9%",275,"13.8%",,200,"16.9%",,1.01,0.41,0.53
"Canna","T1","Top",25,"60%","52%",70,71,148,3.1,"59.6%","19.1%","24.1%","28%",-1,4,-0.9,8.2,"24.8%",435,"23.0%",,265,"22.3%",,0.4,0.19,0.2
"Canyon","Dplus KIA","Jungle",43,"77%","56%",157,96,289,4.6,"68.9%","24.3%","19.8%","33%",146,240,4.6,7.1,"20.1%",422,"19.9%",,252,"20.7%",,0.57,0.31,0.47
"Chieftain","BRION","Jungle",2,"0%","0%",3,8,7,1.3,"100.0%","30.0%","27.6%","50%",-37,25,0.5,6.9,"19.3%",281,"18.7%",,198,"22.2%",,0.3,0.3,0.7
"Chieftain","BRION","Middle",1,"0%","0%",1,4,0,0.3,"50.0%","50.0%","21.1%","0%",-248,-264,-4,8.3,"28.9%",362,"30.2%",,185,"25.5%",,0.45,0.12,0.2
"Chovy","Hanwha Life Esports","Middle",44,"59%","55%",157,79,266,5.4,"68.9%","25.6%","14.8%","23%",285,226,7,10,"30.5%",589,"28.2%",,317,"27.0%",,0.51,0.2,0.44
"Clid","Gen.G","Jungle",39,"67%","46%",115,76,221,4.4,"68.9%","23.6%","19.9%","36%",25,-101,-2.3,6.2,"15.3%",306,"17.1%",,222,"18.4%",,0.73,0.38,0.6
"Clozer","T1","Middle",21,"57%","29%",57,49,122,3.7,"63.5%","20.2%","18.0%","10%",135,186,4.5,9.1,"26.2%",472,"25.4%",,277,"23.3%",,0.39,0.13,0.2
"Croco","Liiv SANDBOX","Jungle",36,"42%","56%",80,97,229,3.2,"70.9%","18.3%","20.0%","25%",41,80,0.3,5.7,"14.6%",295,"16.4%",,199,"18.0%",,0.57,0.34,0.6
"Cuzz","T1","Jungle",13,"77%","62%",43,23,113,6.8,"69.0%","19.0%","15.5%","31%",32,107,1.9,6.1,"16.6%",381,"17.4%",,230,"18.8%",,0.52,0.31,0.58
"Deft","Hanwha Life Esports","ADC",44,"59%","55%",182,106,218,3.8,"65.1%","29.6%","19.8%","16%",56,22,4.6,8.9,"27.8%",571,"27.3%",,297,"25.3%",,0.68,0.15,0.38
"Delight","BRION","Support",39,"31%","56%",22,112,257,2.5,"77.3%","6.1%","23.9%","23%",-8,-34,-3.5,1.1,"2.6%",122,"7.7%",,89,"8.6%",,1.71,0.53,0.43
"deokdam","Nongshim RedForce","ADC",42,"43%","45%",183,89,141,3.6,"68.1%","38.4%","16.2%","19%",165,90,5.4,9.4,"31.0%",452,"23.8%",,305,"28.0%",,0.48,0.15,0.36
"Doran","KT Rolster","Top",45,"40%","58%",86,120,215,2.5,"60.2%","17.2%","20.9%","20%",49,29,3.5,8.5,"24.5%",483,"27.8%",,254,"22.9%",,0.51,0.24,0.23
"Dove","KT Rolster","Middle",17,"47%","53%",35,29,60,3.3,"59.7%","22.0%","16.5%","18%",-59,-39,0.3,9.2,"26.0%",423,"27.8%",,261,"24.0%",,0.49,0.21,0.27
"Dread","Kwangdong Freecs","Jungle",42,"38%","52%",151,103,221,3.6,"73.1%","29.7%","17.8%","60%",123,43,-1,6.6,"19.8%",359,"19.2%",,227,"20.6%",,0.49,0.35,0.57
"DuDu","Hanwha Life Esports","Top",8,"13%","25%",22,20,23,2.3,"55.6%","27.2%","15.9%","25%",63,100,3.5,8.4,"26.4%",497,"26.4%",,255,"24.4%",,0.36,0.14,0.21
"Effort","Liiv SANDBOX","Support",40,"38%","55%",27,146,270,2,"61.9%","5.6%","26.4%","25%",-67,20,1.7,1.1,"2.5%",121,"6.7%",,89,"8.1%",,1.68,0.58,0.4
"Ellim","T1","Jungle",22,"55%","50%",46,36,137,5.1,"67.5%","17.0%","15.8%","36%",36,43,1.9,5.9,"15.0%",253,"14.6%",,200,"17.3%",,0.65,0.38,0.44
"Faker","T1","Middle",23,"65%","39%",70,40,157,5.7,"68.8%","21.2%","18.0%","17%",94,58,1.1,8.1,"22.4%",464,"25.2%",,255,"22.0%",,0.45,0.15,0.23
"FATE","Liiv SANDBOX","Middle",40,"38%","48%",122,71,232,5,"73.8%","25.4%","12.8%","20%",80,-74,-2.2,9.2,"28.1%",527,"29.0%",,278,"25.0%",,0.46,0.22,0.2
"Flawless","Gen.G","Jungle",5,"60%","40%",12,8,23,4.4,"59.3%","20.3%","15.1%","40%",-119,-140,-4.2,5.4,"13.1%",277,"14.3%",,184,"16.9%",,0.51,0.43,0.51
"Fly","Kwangdong Freecs","Middle",42,"38%","60%",92,122,235,2.7,"64.2%","18.1%","21.1%","24%",-120,-95,-5.1,8.2,"23.6%",423,"23.2%",,241,"22.3%",,0.42,0.21,0.25
"Ghost","Dplus KIA","ADC",43,"77%","42%",204,75,225,5.7,"66.3%","31.5%","15.4%","26%",-62,-44,-7,8.9,"28.5%",486,"22.2%",,314,"25.5%",,0.79,0.22,0.38
"gideon","KT Rolster","Jungle",22,"32%","45%",46,50,83,2.6,"68.6%","24.5%","18.6%","45%",-90,-246,-4.5,6.4,"17.4%",238,"15.7%",,199,"19.3%",,0.64,0.31,0.51
"Gumayusi","T1","ADC",21,"48%","67%",94,40,76,4.3,"71.1%","39.3%","17.6%","29%",188,65,4.5,10.3,"34.1%",405,"25.0%",,327,"28.8%",,0.53,0.2,0.49
"Hena","BRION","ADC",39,"31%","49%",130,80,148,3.5,"77.0%","36.0%","17.1%","15%",-48,-4,-0.1,10.1,"34.4%",394,"24.3%",,298,"28.7%",,0.63,0.17,0.49
"HOYA","BRION","Top",39,"31%","44%",55,100,156,2.1,"58.4%","15.2%","21.3%","15%",-205,-77,-7.3,7.3,"20.5%",350,"22.6%",,204,"20.1%",,0.5,0.29,0.2
"HyBriD","KT Rolster","ADC",35,"40%","54%",142,81,111,3.1,"61.4%","34.5%","17.1%","20%",-19,69,1.1,9.6,"29.9%",370,"21.2%",,298,"26.1%",,0.46,0.1,0.44
"Karis","Gen.G","Middle",3,"33%","33%",2,6,8,1.7,"45.5%","9.1%","22.2%","0%",-436,-520,-6,8.7,"23.6%",278,"20.4%",,225,"20.5%",,0.53,0.23,0.21
"Kellin","Nongshim RedForce","Support",42,"43%","14%",24,130,309,2.6,"70.0%","5.0%","23.6%","24%",45,-32,-1.3,1.1,"2.3%",150,"8.0%",,92,"8.6%",,1.98,0.57,0.34
"Keria","T1","Support",44,"61%","52%",43,119,379,3.5,"69.0%","7.0%","24.1%","32%",136,112,4.5,1.5,"3.6%",179,"9.1%",,115,"9.6%",,1.67,0.58,0.4
"Khan","Dplus KIA","Top",43,"77%","56%",84,97,307,4,"60.4%","13.0%","20.0%","14%",43,-27,-0.3,7.5,"21.1%",502,"23.2%",,243,"19.8%",,0.43,0.24,0.21
"Kiin","Kwangdong Freecs","Top",42,"38%","57%",85,124,213,2.4,"58.5%","16.7%","21.4%","36%",178,177,3.5,8,"24.1%",489,"26.8%",,244,"22.2%",,0.4,0.2,0.23
"Kingen","DRX","Top",47,"45%","66%",91,121,250,2.8,"65.8%","17.6%","20.2%","26%",93,56,5.3,7.7,"22.0%",466,"25.3%",,248,"22.3%",,0.39,0.17,0.19
"Lava","BRION","Middle",28,"29%","36%",46,59,142,3.2,"75.2%","18.4%","17.1%","29%",-110,-87,-2.4,8.8,"25.5%",438,"26.8%",,246,"23.7%",,0.45,0.18,0.27
"Lehends","Kwangdong Freecs","Support",41,"39%","41%",29,130,296,2.5,"66.3%","5.9%","23.3%","34%",23,-29,-2.9,1.3,"3.7%",157,"8.6%",,100,"9.1%",,1.65,0.56,0.43
"Leo","Liiv SANDBOX","ADC",9,"33%","67%",26,24,31,2.4,"50.4%","23.0%","19.0%","0%",-266,-57,-5.6,9,"29.0%",346,"19.0%",,278,"25.3%",,0.62,0.17,0.34
"Life","Gen.G","Support",44,"66%","57%",26,104,302,3.2,"60.0%","4.8%","23.9%","27%",-18,-38,-2.5,1.1,"2.5%",130,"7.2%",,100,"8.3%",,1.74,0.56,0.34
"MapSSi","Kwangdong Freecs","Support",1,"0%","100%",0,5,12,2.4,"63.2%","0.0%","23.8%","0%",-260,-126,-5,1.5,"5.4%",301,"12.0%",,85,"7.9%",,1.77,0.55,0.42
"Mir","Hanwha Life Esports","Jungle",27,"52%","48%",92,75,173,3.5,"66.4%","23.1%","21.7%","19%",12,44,0.3,5.8,"15.0%",312,"15.0%",,211,"17.7%",,0.53,0.36,0.48
"Morgan","Hanwha Life Esports","Top",36,"69%","42%",77,75,234,4.1,"58.3%","14.4%","18.3%","17%",-172,-115,-5.5,7.6,"21.8%",416,"19.7%",,237,"19.7%",,0.4,0.23,0.26
"Noah","KT Rolster","ADC",10,"40%","50%",33,22,30,2.9,"71.6%","37.5%","22.2%","40%",-222,-150,-11.3,8,"27.8%",410,"25.5%",,271,"25.3%",,0.56,0.16,0.45
"Oner","T1","Jungle",9,"56%","67%",30,24,56,3.6,"74.8%","26.1%","20.3%","33%",-38,111,6.6,6.9,"19.0%",390,"21.1%",,245,"21.2%",,0.33,0.19,0.39
"OnFleek","Liiv SANDBOX","Jungle",4,"0%","25%",7,13,18,1.9,"56.8%","15.9%","19.1%","0%",93,-254,-3,6.4,"18.4%",228,"11.5%",,204,"19.1%",,0.38,0.3,0.78
"PangSu","KT Rolster","Jungle",6,"33%","33%",14,17,19,1.9,"56.9%","24.1%","19.8%","0%",-257,-392,-8,5.9,"15.3%",254,"14.9%",,200,"18.9%",,0.88,0.36,0.55
"Peanut","Nongshim RedForce","Jungle",42,"43%","48%",119,100,223,3.4,"71.8%","25.0%","18.1%","31%",-117,-65,-0.5,7,"20.9%",379,"20.0%",,231,"21.5%",,0.34,0.21,0.65
"Pleata","DRX","Support",47,"45%","53%",35,150,313,2.3,"67.2%","6.8%","25.0%","23%",-95,-105,0.8,1.2,"2.9%",130,"6.8%",,95,"8.5%",,1.79,0.54,0.42
"Prince","Liiv SANDBOX","ADC",20,"45%","45%",82,45,67,3.3,"61.3%","33.7%","16.1%","15%",-151,-110,-2,9.6,"29.6%",464,"23.8%",,298,"26.3%",,0.49,0.16,0.45
"Pyosik","DRX","Jungle",47,"45%","53%",133,122,238,3,"71.6%","25.7%","20.4%","38%",-77,-47,0.4,7.2,"21.3%",397,"20.6%",,239,"21.6%",,0.55,0.26,0.59
"Quad","DRX","Middle",47,"45%","53%",80,102,270,3.4,"67.6%","15.4%","17.0%","13%",-79,-5,0.2,8.6,"23.9%",474,"24.9%",,239,"21.6%",,0.56,0.27,0.21
"Rascal","Gen.G","Top",44,"66%","43%",113,106,211,3.1,"59.2%","20.7%","24.4%","39%",109,42,2.5,8.7,"25.8%",396,"22.9%",,279,"23.4%",,0.34,0.21,0.26
"Rich","Nongshim RedForce","Top",42,"43%","57%",84,127,202,2.3,"60.1%","17.6%","23.0%","12%",-221,-206,-6.4,7.2,"20.6%",482,"25.9%",,218,"20.2%",,0.35,0.12,0.25
"Route","Liiv SANDBOX","ADC",11,"27%","18%",32,26,43,2.9,"60.5%","25.8%","17.7%","9%",-68,4,-1.5,9,"28.4%",341,"19.1%",,268,"24.9%",,0.52,0.21,0.36
"Ruler","Gen.G","ADC",44,"66%","50%",158,71,176,4.7,"61.1%","28.9%","16.3%","23%",162,99,7.8,10.4,"31.9%",455,"25.2%",,325,"27.2%",,0.77,0.21,0.55
"ShowMaker","Dplus KIA","Middle",43,"77%","44%",152,68,287,6.5,"67.9%","23.5%","14.0%","16%",88,6,2.9,9.1,"25.6%",552,"25.0%",,293,"23.9%",,0.48,0.17,0.25
"Summit","Liiv SANDBOX","Top",40,"38%","40%",104,131,198,2.3,"62.9%","21.7%","23.7%","15%",34,38,1.9,8.3,"25.3%",490,"26.9%",,259,"23.1%",,0.46,0.23,0.26
"Teddy","T1","ADC",23,"74%","52%",117,45,146,5.8,"70.5%","31.4%","16.9%","26%",231,-28,-2.8,8.9,"30.4%",577,"27.1%",,324,"26.6%",,0.77,0.18,0.41
"ucal","KT Rolster","Middle",28,"36%","57%",80,69,141,3.2,"64.8%","23.5%","17.3%","11%",-69,-14,-0.5,9.3,"27.2%",544,"30.0%",,274,"25.2%",,0.47,0.18,0.29
"UmTi","BRION","Jungle",37,"32%","51%",78,85,193,3.2,"77.2%","22.2%","19.3%","35%",14,61,1.2,6.4,"17.3%",309,"18.7%",,200,"19.1%",,0.69,0.38,0.57
