"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"5kid","KT Rolster","ADC",15,"47%","80%",41,19,56,5.1,"53.3%","22.5%","11.6%","0%",-232,-26,-0.8,10.3,"33.3%",461,"24.8%","29.1%",295,"26.0%",0,0.53,0.2,0.33
"BAO","DRX","ADC",19,"16%","42%",34,43,56,2.1,"61.6%","23.3%","15.8%","5%",-194,-181,0.3,9.7,"30.2%",434,"23.7%",,265,"26.1%",,0.44,0.11,0.37
"Bdd","Gen.G","Middle",46,"59%","50%",126,88,275,4.6,"66.3%","20.8%","18.0%","20%",-1,29,2.2,8.3,"22.4%",452,"24.6%","26.9%",254,"22.4%",0,0.44,0.21,0.24
"BeryL","Dplus KIA","Support",43,"67%","58%",31,127,331,2.9,"59.6%","5.1%","25.0%","23%",67,25,1.6,1.6,"4.5%",179,"8.7%","7.8%",116,"9.9%",0,1.71,0.54,0.54
"Blank","KT Rolster","Jungle",41,"46%","41%",89,88,270,4.1,"72.4%","17.9%","18.0%","39%",-12,-103,-2.3,6,"16.6%",305,"16.4%","11.3%",205,"18.4%",0,0.52,0.37,0.41
"Burdol","Gen.G","Top",6,"50%","67%",27,20,23,2.5,"64.9%","35.1%","30.3%","17%",201,1,-4,8.3,"27.6%",453,"26.2%","27.9%",290,"25.5%",0,0.26,0.1,0.18
"Canna","T1","Top",44,"57%","45%",140,99,199,3.4,"66.7%","27.6%","21.9%","36%",118,39,2.4,8.5,"25.9%",472,"25.7%","26.2%",277,"24.1%",0,0.41,0.24,0.28
"Canyon","Dplus KIA","Jungle",33,"67%","45%",111,74,225,4.5,"71.6%","23.7%","18.3%","33%",57,118,2.9,6.1,"18.0%",406,"19.1%","21.5%",233,"20.0%",1,0.43,0.33,0.3
"Canyon","Dplus KIA","Middle",10,"70%","60%",23,19,65,4.6,"63.8%","16.7%","18.3%","40%",-21,-73,-6.9,7.9,"22.6%",382,"20.4%",,254,"21.8%",,0.35,0.23,0.21
"Chieftain","BRION","Jungle",2,"50%","50%",6,4,10,4,"66.7%","25.0%","16.0%","50%",845,267,11.5,5.6,"13.7%",342,"15.8%",,199,"17.6%",,0.44,0.3,0.5
"Chovy","Hanwha Life Esports","Middle",43,"40%","60%",132,81,195,4,"66.1%","26.7%","14.5%","21%",247,137,9.3,9.5,"28.6%",491,"25.8%","29.7%",285,"26.0%",0,0.41,0.18,0.37
"Clid","Gen.G","Jungle",43,"60%","60%",109,84,262,4.4,"64.3%","18.9%","18.9%","44%",-19,-25,-3.2,5.6,"15.7%",272,"14.6%","13.6%",199,"17.5%",2,0.55,0.39,0.48
"Croco","Liiv SANDBOX","Jungle",47,"55%","66%",94,118,290,3.3,"74.7%","18.3%","20.8%","34%",-92,-74,-1.8,5.5,"14.0%",327,"18.3%","18.5%",193,"17.3%",0,0.37,0.27,0.4
"Cuzz","T1","Jungle",23,"52%","52%",55,54,143,3.7,"69.0%","19.2%","22.4%","48%",-89,-129,-3.7,5.9,"16.1%",330,"17.5%",,205,"17.7%",,0.67,0.36,0.44
