MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
1000.00,176.00,67.00,179.00,5.30,0.81,0.40,0.16,0.24,119.00,128.00,-0.80,9.80,0.35,578.00,0.34,315.00,0.30,0.50,0.14,0.51
200.00,43.00,20.00,44.00,4.40,0.64,0.31,0.13,0.31,-38.00,-87.00,-6.70,8.10,0.26,354.00,0.22,241.00,0.23,0.57,0.30,0.15
1200.00,148.00,60.00,256.00,6.70,0.74,0.27,0.18,0.39,148.00,14.00,1.30,8.30,0.24,465.00,0.27,260.00,0.23,0.55,0.26,0.23
400.00,21.00,74.00,241.00,3.50,0.69,0.06,0.22,0.23,39.00,49.00,8.20,2.00,0.06,157.00,0.09,118.00,0.10,1.52,0.50,0.41
300.00,55.00,79.00,271.00,4.10,0.79,0.13,0.22,0.37,82.00,71.00,2.70,5.20,0.14,213.00,0.13,179.00,0.17,0.60,0.43,0.50
400.00,92.00,53.00,235.00,6.20,0.69,0.20,0.18,0.25,-13.00,55.00,-2.90,7.70,0.22,379.00,0.22,243.00,0.22,0.46,0.17,0.18
100.00,64.00,100.00,269.00,3.30,0.67,0.13,0.20,0.42,-148.00,-119.00,0.10,5.30,0.14,217.00,0.12,179.00,0.16,0.66,0.40,0.50
1100.00,143.00,65.00,220.00,5.60,0.64,0.25,0.16,0.12,87.00,182.00,9.20,9.30,0.27,555.00,0.29,280.00,0.24,0.52,0.22,0.37
800.00,98.00,78.00,298.00,5.10,0.73,0.18,0.23,0.61,207.00,73.00,-0.30,5.40,0.16,227.00,0.13,197.00,0.18,0.67,0.36,0.59
100.00,55.00,75.00,124.00,2.40,0.58,0.18,0.21,0.08,36.00,-4.00,2.40,8.60,0.26,474.00,0.25,256.00,0.24,0.33,0.19,0.26
500.00,93.00,139.00,168.00,1.90,0.62,0.22,0.24,0.18,69.00,-15.00,1.20,7.50,0.23,415.00,0.24,229.00,0.23,0.52,0.25,0.22
400.00,53.00,49.00,245.00,6.10,0.74,0.13,0.18,0.37,35.00,31.00,0.70,5.40,0.14,261.00,0.15,180.00,0.16,0.84,0.37,0.58
200.00,196.00,80.00,225.00,5.30,0.70,0.32,0.19,0.17,237.00,223.00,9.30,9.80,0.31,571.00,0.29,316.00,0.27,0.49,0.18,0.35
500.00,96.00,96.00,238.00,3.50,0.59,0.17,0.24,0.19,27.00,25.00,0.70,8.20,0.24,395.00,0.20,249.00,0.22,0.50,0.19,0.16
