MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
1000.00,200.00,66.00,197.00,6.00,0.72,0.36,0.14,0.18,164.00,-7.00,5.70,9.80,0.32,630.00,0.30,324.00,0.28,0.55,0.16,0.50
500.00,111.00,98.00,209.00,3.30,0.69,0.24,0.18,0.12,-7.00,-16.00,0.80,8.60,0.26,562.00,0.29,257.00,0.24,0.50,0.26,0.23
200.00,35.00,150.00,354.00,2.60,0.73,0.07,0.27,0.24,147.00,151.00,7.40,1.90,0.05,170.00,0.08,120.00,0.11,1.44,0.47,0.41
400.00,89.00,104.00,185.00,2.60,0.59,0.19,0.20,0.19,123.00,80.00,2.10,8.30,0.27,496.00,0.26,258.00,0.24,0.41,0.19,0.20
700.00,93.00,93.00,269.00,3.90,0.72,0.19,0.23,0.29,-93.00,31.00,1.10,6.30,0.16,340.00,0.15,206.00,0.18,0.46,0.39,0.39
0.00,30.00,32.00,34.00,2.00,0.73,0.34,0.18,0.21,-447.00,-184.00,-9.60,9.00,0.33,368.00,0.26,260.00,0.27,0.42,0.16,0.26
800.00,133.00,52.00,231.00,7.00,0.65,0.24,0.17,0.20,196.00,115.00,5.00,10.00,0.29,599.00,0.27,323.00,0.25,0.51,0.16,0.45
500.00,130.00,77.00,234.00,4.70,0.66,0.24,0.18,0.20,3.00,68.00,1.00,9.00,0.28,589.00,0.28,280.00,0.24,0.41,0.17,0.22
700.00,103.00,104.00,288.00,3.80,0.71,0.19,0.24,0.39,-2.00,-16.00,-1.50,5.60,0.14,302.00,0.14,203.00,0.17,0.31,0.23,0.48
200.00,108.00,98.00,276.00,3.90,0.69,0.20,0.21,0.40,61.00,5.00,1.20,5.60,0.14,283.00,0.14,195.00,0.17,0.38,0.34,0.48
100.00,149.00,104.00,231.00,3.70,0.71,0.28,0.19,0.24,-27.00,-64.00,-5.80,8.40,0.28,581.00,0.28,282.00,0.25,0.66,0.19,0.44
100.00,19.00,111.00,234.00,2.30,0.70,0.05,0.22,0.36,-100.00,-47.00,-5.50,1.20,0.03,121.00,0.07,91.00,0.09,1.83,0.54,0.48
