"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ace","Samsung Galaxy","Middle",10,"40%",,29,34,43,2.1,"67.3%","27.1%","24.1%","20%",-72,35,1.4,8,"27.3%",478,"28.6%",,229,"24.6%",,0.76,0.12,0.11
"Ambition","CJ Entus","Jungle",32,"63%",,76,87,268,4,"72.1%","15.9%","23.0%","38%",125,197,3.3,3.4,"12.0%",229,"12.1%",,182,"17.3%",,0.75,0.1,0.36
"Ares","Incredible Miracle","Jungle",15,"7%",,20,51,67,1.7,"79.1%","18.2%","19.2%","20%",-101,-125,-0.3,2.9,"9.6%",157,"10.1%",,132,"15.6%",,1.11,0.13,0.37
"Arrow","KT Rolster","ADC",33,"45%",,116,68,145,3.8,"73.7%","32.8%","16.8%","12%",-88,22,-1.4,8,"27.2%",438,"28.7%",,243,"24.9%",,0.31,0.09,0.24
"Bang","SK Telecom T1","ADC",32,"72%",,152,53,188,6.4,"69.7%","31.1%","14.9%","6%",20,21,1.6,8.8,"30.0%",547,"29.2%",,290,"26.0%",,0.17,0.05,0.19
"Bengi","SK Telecom T1","Jungle",26,"65%",,46,86,219,3.1,"68.3%","11.9%","26.6%","31%",-109,-185,-2.5,2.7,"8.2%",158,"8.5%",,161,"14.6%",,1.05,0.16,0.35
"BlisS","Samsung Galaxy","Middle",22,"9%",,41,86,78,1.4,"63.3%","21.8%","24.0%","9%",-187,-230,-7.1,7,"26.6%",325,"21.3%",,191,"24.0%",,0.38,0.08,0.13
"Cain","NaJin e-mFire","Support",20,"35%",,12,68,150,2.4,"63.5%","4.7%","22.1%","45%",-20,174,1,1,"3.8%",128,"7.4%",,97,"9.5%",,1.28,0.24,0.34
"Chaser","Jin Air Green Wings","Jungle",31,"55%",,71,74,278,4.7,"77.9%","15.8%","19.4%","48%",36,23,0.1,2.8,"10.2%",162,"9.4%",,161,"16.1%",,1.08,0.16,0.31
"Chei","Jin Air Green Wings","Support",29,"52%",,22,91,277,3.3,"72.7%","5.4%","24.5%","34%",34,-85,-3,0.5,"2.5%",103,"5.7%",,101,"9.9%",,1.34,0.29,0.36
"Coco","CJ Entus","Middle",32,"63%",,140,70,190,4.7,"69.2%","29.4%","18.5%","25%",107,173,1.7,8.2,"28.8%",571,"29.4%",,263,"24.6%",,0.27,0.09,0.27
"Cpt Jack","Jin Air Green Wings","ADC",12,"75%",,34,27,85,4.4,"68.0%","19.4%","21.4%","17%",-19,-109,1.3,8.8,"33.4%",510,"27.1%",,275,"26.7%",,0.12,0.02,0.16
"CuVee","Samsung Galaxy","Top",32,"19%",,64,115,147,1.8,"71.5%","21.7%","23.0%","25%",-77,-239,-5.3,6.9,"25.8%",348,"22.1%",,198,"23.1%",,0.46,0.04,0.11
"Duke","NaJin e-mFire","Top",33,"42%",,82,86,196,3.2,"63.9%","18.9%","18.4%","21%",137,156,6.1,7.5,"27.0%",404,"23.7%",,225,"22.9%",,0.3,0.04,0.1
"Easyhoon","SK Telecom T1","Middle",12,"75%",,58,13,62,9.2,"71.0%","34.3%","14.1%","25%",136,211,5.2,8.6,"28.2%",533,"29.4%",,272,"24.8%",,0.17,0.07,0.19
"Eve","Samsung Galaxy","Jungle",32,"19%",,67,93,151,2.3,"73.9%","22.7%","18.6%","56%",-26,-48,0.9,3.2,"11.6%",264,"16.1%",,155,"17.6%",,0.8,0.09,0.29
"Faker","SK Telecom T1","Middle",20,"70%",,114,52,113,4.4,"71.2%","35.7%","19.8%","30%",192,78,4.9,9.1,"30.7%",687,"35.4%",,293,"26.1%",,0.2,0.07,0.2
"Fixer","KT Rolster","Support",17,"59%",,17,46,143,3.5,"72.1%","7.7%","23.4%","24%",-18,18,3.1,0.9,"3.2%",129,"7.8%",,103,"9.6%",,1.26,0.21,0.29
"Frozen","Incredible Miracle","Middle",31,"26%",,75,58,120,3.4,"69.4%","26.7%","12.3%","16%",-56,-29,1.4,8.4,"30.5%",531,"32.0%",,231,"26.2%",,0.31,0.06,0.15
"Fury","Samsung Galaxy","ADC",32,"19%",,81,79,139,2.8,"74.6%","27.5%","15.8%","31%",-73,126,-0.6,8.4,"32.6%",503,"31.4%",,237,"27.4%",,0.2,0.06,0.22
"GBM","Jin Air Green Wings","Middle",32,"53%",,138,69,201,4.9,"74.0%","30.1%","17.5%","25%",12,-42,-2.8,8,"29.2%",571,"32.2%",,247,"25.0%",,0.25,0.04,0.16
"Ggoong","NaJin e-mFire","Middle",20,"40%",,73,52,98,3.3,"67.9%","29.0%","18.8%","10%",-243,-146,-5.6,7.6,"28.5%",500,"30.6%",,234,"24.5%",,0.36,0.09,0.17
"GorillA","ROX Tigers","Support",31,"81%",,23,82,348,4.5,"70.1%","4.3%","22.9%","16%",2,-24,-1.2,0.7,"3.0%",116,"6.5%",,118,"10.7%",,1.57,0.32,0.31
"Hachani","KT Rolster","Support",16,"31%",,15,56,80,1.7,"72.0%","11.4%","27.1%","13%",54,-110,-0.3,0.6,"2.4%",122,"9.3%",,91,"9.9%",,1.48,0.34,0.34
"Hojin","ROX Tigers","Jungle",31,"81%",,61,87,302,4.2,"68.6%","11.5%","24.3%","42%",7,-53,-3.1,3.2,"12.0%",195,"10.3%",,183,"16.5%",,0.87,0.14,0.27
"Kuro","ROX Tigers","Middle",31,"81%",,153,70,199,5,"66.5%","28.9%","19.6%","16%",27,78,3,8.1,"27.7%",550,"28.7%",,265,"23.9%",,0.35,0.09,0.33
"Lilac","Incredible Miracle","Top",31,"26%",,62,128,115,1.4,"63.0%","22.1%","27.2%","16%",-114,-103,-4.7,6.8,"24.0%",367,"22.8%",,196,"21.7%",,0.52,0.06,0.13
"MadLife","CJ Entus","Support",32,"63%",,36,85,307,4,"71.9%","7.5%","22.4%","34%",-22,-102,-1.5,0.6,"2.5%",136,"7.1%",,112,"10.5%",,1.35,0.27,0.38
"MaRin","SK Telecom T1","Top",32,"72%",,80,70,203,4,"58.0%","16.4%","19.7%","22%",46,63,3.4,8.5,"29.2%",408,"21.6%",,260,"23.2%",,0.43,0.07,0.11
"Nagne","KT Rolster","Middle",33,"45%",,95,83,140,2.8,"66.4%","26.8%","20.5%","9%",-9,-70,0.3,8.7,"29.6%",428,"28.3%",,246,"25.4%",,0.42,0.1,0.2
"Ohq","NaJin e-mFire","ADC",27,"44%",,130,63,134,4.2,"73.1%","36.0%","16.6%","33%",248,67,7.9,8.4,"30.5%",492,"28.7%",,272,"26.8%",,0.17,0.01,0.11
"Peanut","NaJin e-mFire","Jungle",11,"36%",,15,36,80,2.6,"71.4%","11.3%","22.1%","45%",-232,-9,-2.6,3.1,"10.8%",211,"13.4%",,163,"16.7%",,0.89,0.11,0.34
"Piccaboo","SK Telecom T1","Support",12,"67%",,13,36,122,3.8,"69.6%","6.7%","22.8%","25%",2,-111,-1,0.8,"2.8%",150,"7.4%",,109,"10.1%",,1.54,0.17,0.3
"Pilot","Jin Air Green Wings","ADC",20,"40%",,112,47,109,4.7,"78.1%","39.6%","17.5%","40%",115,-67,-1.2,8.7,"34.1%",568,"34.1%",,275,"28.6%",,0.1,0.03,0.18
"PraY","ROX Tigers","ADC",31,"81%",,169,48,204,7.8,"70.5%","31.9%","13.4%","13%",104,-6,2.7,8.7,"31.3%",588,"31.1%",,292,"26.4%",,0.18,0.02,0.19
"Pure","NaJin e-mFire","Support",13,"54%",,9,36,118,3.5,"70.6%","5.0%","22.4%","23%",27,94,1.9,0.8,"3.2%",106,"6.9%",,96,"9.3%",,1.47,0.27,0.41
"Score","KT Rolster","Jungle",33,"45%",,51,91,224,3,"77.7%","14.4%","22.5%","30%",24,8,-0.1,2.9,"9.7%",162,"10.8%",,154,"15.6%",,0.84,0.13,0.35
"Shy","CJ Entus","Top",32,"63%",,75,68,217,4.3,"61.2%","15.7%","17.9%","9%",-82,25,0.1,7.2,"26.0%",378,"19.8%",,225,"21.6%",,0.33,0.06,0.1
"Smeb","ROX Tigers","Top",31,"81%",,123,71,259,5.4,"72.2%","23.3%","19.8%","32%",128,135,2.8,7.3,"26.0%",445,"23.5%",,250,"22.6%",,0.2,0.09,0.09
"Sonstar","Incredible Miracle","ADC",31,"26%",,80,76,116,2.6,"69.8%","28.5%","16.2%","10%",-195,-179,-6.5,8.6,"31.8%",449,"27.8%",,242,"26.6%",,0.13,0.04,0.13
"Space","CJ Entus","ADC",32,"63%",,150,69,197,5,"72.7%","31.4%","18.2%","28%",-38,18,-2.6,8.4,"30.6%",602,"31.5%",,275,"26.0%",,0.17,0.04,0.12
"Ssumday","KT Rolster","Top",33,"45%",,60,60,159,3.7,"61.9%","16.9%","14.9%","21%",39,-30,0.7,8.3,"30.6%",357,"23.7%",,234,"24.3%",,0.54,0.08,0.17
"Sweet","Jin Air Green Wings","Support",3,"67%",,2,6,35,6.2,"78.7%","4.3%","26.1%","67%",-58,60,-10,0.6,"2.5%",84,"5.6%",,103,"9.8%",,1.16,0.29,0.48
"Tank","NaJin e-mFire","Middle",13,"46%",,50,41,76,3.1,"68.9%","27.3%","21.4%","23%",147,16,-1.2,8.4,"28.3%",473,"26.0%",,259,"25.1%",,0.22,0.06,0.15
"Tom","SK Telecom T1","Jungle",6,"100%",,13,8,52,8.1,"65.0%","13.0%","25.0%","67%",467,307,4.3,3.2,"9.1%",163,"8.3%",,206,"16.5%",,0.83,0.08,0.42
"TrAce","Jin Air Green Wings","Top",32,"53%",,79,77,217,3.8,"64.6%","17.2%","19.5%","22%",-79,-3,-3.3,6.7,"24.2%",362,"21.5%",,210,"21.2%",,0.48,0.04,0.11
"TusiN","Incredible Miracle","Support",31,"26%",,14,102,199,2.1,"75.8%","5.0%","21.7%","35%",80,113,2.8,0.9,"3.9%",110,"6.7%",,88,"9.7%",,1.31,0.23,0.42
"Watch","NaJin e-mFire","Jungle",22,"45%",,45,74,174,3,"72.5%","14.9%","24.3%","27%",-115,-19,0.2,3,"10.0%",188,"11.1%",,159,"15.9%",,1.03,0.14,0.36
"Winged","Jin Air Green Wings","Jungle",1,"0%",,0,4,6,1.5,"60.0%","0.0%","30.8%","100%",121,66,5,3.3,"11.3%",135,"8.4%",,134,"15.1%",,1.18,0.18,0.46
"Wisdom","Incredible Miracle","Jungle",16,"44%",,30,55,101,2.4,"76.6%","17.5%","26.8%","50%",76,64,1.3,2.9,"10.0%",187,"11.3%",,153,"16.1%",,1.21,0.15,0.25
"Wolf","SK Telecom T1","Support",20,"75%",,12,37,198,5.7,"71.4%","4.1%","18.8%","15%",132,134,-0.8,0.7,"2.7%",142,"7.9%",,117,"10.3%",,1.24,0.29,0.43
"Wraith","Samsung Galaxy","Support",32,"19%",,13,92,197,2.3,"71.2%","4.4%","18.4%","41%",-175,-58,1.4,0.7,"3.3%",107,"6.8%",,68,"7.6%",,1.21,0.24,0.33
"Zefa","NaJin e-mFire","ADC",6,"33%",,19,12,33,4.3,"70.3%","25.7%","13.5%","0%",33,73,1.5,8.7,"31.9%",389,"27.7%",,252,"26.9%",,0.16,0.06,0.23
