"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ambition","CJ Entus","Jungle",39,"62%",,80,101,346,4.2,"76.2%","14.3%","20.7%","46%",7,124,3.3,3.4,"11.7%",249,"12.5%",,184,"17.7%",,0.87,0.1,0.4
"Apple","Incredible Miracle","Top",25,"24%",,65,79,118,2.3,"65.8%","23.4%","21.1%","28%",-77,-144,-3.8,6.4,"22.5%",371,"20.8%",,191,"20.7%",,0.56,0.09,0.09
"Arrow","KT Rolster","ADC",44,"64%",,173,62,270,7.1,"73.5%","28.7%","14.9%","23%",0,-1,-0.4,8.2,"27.1%",549,"30.6%",,256,"24.7%",,0.21,0.06,0.25
"Bang","SK Telecom T1","ADC",41,"85%",,168,68,237,6,"60.2%","25.0%","17.4%","15%",93,139,2.3,8.4,"28.2%",567,"27.2%",,275,"23.9%",,0.2,0.05,0.16
"Bengi","SK Telecom T1","Jungle",35,"83%",,86,69,292,5.5,"64.4%","14.7%","20.4%","57%",79,-45,-2,3,"9.5%",264,"13.0%",,189,"16.4%",,0.94,0.11,0.28
"BlisS","Samsung Galaxy","Jungle",1,"0%",,4,2,2,3,"100.0%","66.7%","20.0%","0%",315,342,17,4.8,"15.9%",213,"14.0%",,212,"23.4%",,0.6,0.09,0.17
"Catch","SBENU Korea","Jungle",43,"19%",,47,139,200,1.8,"70.0%","13.3%","20.4%","16%",-175,-76,1.4,3.1,"10.2%",191,"11.7%",,142,"16.4%",,0.92,0.14,0.35
"Chaser","Jin Air Green Wings","Jungle",38,"53%",,89,76,285,4.9,"77.9%","18.5%","20.9%","61%",83,23,1.4,3.5,"12.4%",245,"14.4%",,190,"18.9%",,0.91,0.16,0.31
"Chei","Jin Air Green Wings","Support",24,"46%",,17,54,183,3.7,"70.9%","6.0%","22.7%","21%",-36,23,-0.4,0.7,"2.9%",112,"6.7%",,86,"8.7%",,1.32,0.33,0.31
"Coco","CJ Entus","Middle",46,"59%",,199,109,274,4.3,"74.8%","31.5%","18.8%","15%",8,82,0.4,8.9,"31.4%",674,"32.5%",,274,"26.3%",,0.33,0.08,0.23
"Cpt Jack","Jin Air Green Wings","ADC",16,"50%",,66,28,78,5.1,"68.6%","31.4%","16.4%","13%",-9,142,1.9,8.9,"32.6%",511,"28.0%",,273,"27.5%",,0.23,0.03,0.14
"Crown","Samsung Galaxy","Middle",43,"37%",,131,116,172,2.6,"63.7%","27.5%","19.7%","12%",-11,73,3.7,9.2,"30.7%",478,"28.4%",,259,"26.2%",,0.37,0.1,0.28
"CuVee","Samsung Galaxy","Top",43,"37%",,86,136,222,2.3,"64.7%","18.1%","23.1%","16%",-9,-128,-1.8,7.3,"25.2%",361,"21.0%",,213,"21.6%",,0.65,0.05,0.08
"cvMax","Rebels Anarchy","Top",3,"33%",,5,11,21,2.4,"65.0%","12.5%","20.4%","0%",93,3,1,6.9,"24.9%",434,"22.2%",,199,"21.2%",,0.6,0.04,0.1
"Dan","SBENU Korea","ADC",1,"0%",,1,0,2,3,"75.0%","25.0%","0.0%","0%",-293,-29,-11,7,"24.7%",288,"19.5%",,162,"24.3%",,0.11,0.06,0.31
"DO IT","SBENU Korea","Middle",2,"0%",,4,5,2,1.2,"66.7%","44.4%","16.7%","0%",-444,-87,2,9,"32.8%",482,"37.0%",,208,"30.0%",,0.39,0.08,0.08
"Duke","NaJin e-mFire","Top",45,"58%",,116,90,280,4.4,"64.7%","19.0%","18.1%","27%",83,132,3.9,7.4,"25.6%",355,"20.2%",,224,"22.0%",,0.48,0.03,0.05
"Easyhoon","SK Telecom T1","Middle",12,"92%",,50,28,69,4.3,"63.0%","26.5%","20.0%","8%",59,145,5.3,9.1,"31.0%",585,"26.9%",,285,"25.8%",,0.16,0.05,0.29
"Edge","KT Rolster","Middle",8,"50%",,29,19,33,3.3,"66.7%","31.2%","21.8%","38%",135,92,0.3,8.9,"30.4%",526,"31.3%",,252,"25.1%",,0.21,0.07,0.21
"Eve","Samsung Galaxy","Jungle",42,"38%",,88,108,253,3.2,"72.6%","18.7%","18.7%","19%",-131,-57,-1.1,3.3,"11.2%",246,"14.0%",,171,"17.2%",,0.97,0.12,0.36
"Expession","Incredible Miracle","Top",13,"31%",,20,53,47,1.3,"51.9%","15.5%","27.5%","23%",-188,-308,-9.3,6.7,"25.2%",344,"19.1%",,188,"20.3%",,0.43,0.02,0.06
"Faker","SK Telecom T1","Middle",29,"83%",,166,60,158,5.4,"66.9%","34.3%","24.0%","34%",180,182,5.4,8.9,"29.7%",656,"32.1%",,296,"25.3%",,0.25,0.07,0.2
"Fixer","KT Rolster","Support",21,"52%",,13,55,203,3.9,"73.2%","4.4%","22.8%","33%",60,88,1.4,0.9,"3.4%",131,"7.7%",,98,"9.4%",,1.19,0.18,0.29
"Frozen","Incredible Miracle","Middle",42,"29%",,143,112,164,2.7,"68.1%","31.7%","18.0%","17%",-26,-84,-0.8,8.6,"31.3%",536,"29.8%",,245,"26.5%",,0.42,0.05,0.15
"Fury","Samsung Galaxy","ADC",43,"37%",,138,103,219,3.5,"75.0%","29.0%","17.5%","14%",5,127,1.5,8.6,"30.0%",525,"29.5%",,256,"26.0%",,0.17,0.07,0.21
"GBM","Jin Air Green Wings","Middle",33,"52%",,124,51,172,5.8,"72.2%","30.2%","16.2%","24%",-22,-75,-3.5,8.7,"30.7%",483,"28.3%",,256,"25.8%",,0.33,0.06,0.16
"Ggoong","NaJin e-mFire","Middle",44,"57%",,186,97,241,4.4,"71.4%","31.1%","19.7%","25%",10,-4,-1.5,8.7,"30.5%",525,"29.8%",,263,"25.6%",,0.51,0.07,0.2
"GorillA","ROX Tigers","Support",42,"62%",,33,122,417,3.7,"76.1%","5.6%","25.5%","33%",23,139,-1.3,0.8,"3.6%",161,"8.3%",,110,"10.5%",,1.41,0.27,0.25
"Helper","CJ Entus","Top",8,"38%",,11,26,42,2,"67.9%","14.1%","23.2%","0%",-106,-99,-1.5,6.6,"23.5%",420,"21.4%",,188,"20.6%",,0.57,0.04,0.07
"Hojin","ROX Tigers","Jungle",17,"76%",,43,31,185,7.4,"75.2%","14.2%","16.9%","53%",-9,-167,-3.9,3,"10.7%",260,"11.6%",,181,"16.1%",,1.15,0.13,0.27
"IgNar","Incredible Miracle","Support",42,"29%",,26,133,313,2.5,"75.2%","5.8%","21.3%","21%",-70,-15,0,0.7,"2.6%",122,"6.8%",,83,"8.7%",,1.4,0.25,0.34
"ikssu","Rebels Anarchy","Top",43,"37%",,69,143,234,2.1,"68.9%","15.7%","20.8%","21%",-110,-37,-3.7,6.7,"23.2%",343,"20.1%",,198,"20.5%",,0.6,0.08,0.08
"Kuro","ROX Tigers","Middle",42,"62%",,192,72,241,6,"73.3%","32.5%","15.1%","24%",-45,-33,-3.9,8.6,"30.2%",573,"28.6%",,268,"25.7%",,0.33,0.08,0.28
"Kuzan","Jin Air Green Wings","Middle",9,"56%",,29,18,36,3.6,"66.3%","29.6%","22.5%","33%",68,112,5.6,8.3,"27.9%",435,"26.9%",,239,"24.5%",,0.53,0.09,0.24
"Lilac","Incredible Miracle","Jungle",2,"0%",,1,11,10,1,"78.6%","7.1%","22.9%","0%",-496,-520,-8.5,2.5,"10.7%",227,"13.1%",,109,"14.3%",,1.25,0.16,0.48
"Lilac","Incredible Miracle","Top",4,"50%",,6,10,21,2.7,"61.4%","13.6%","18.2%","50%",-226,6,-5.5,7,"23.0%",433,"21.2%",,204,"20.1%",,0.7,0.04,0.13
"Lira","Rebels Anarchy","Jungle",46,"37%",,90,138,262,2.6,"73.3%","18.8%","18.6%","41%",72,135,2,3.5,"12.0%",219,"12.7%",,174,"18.1%",,1.03,0.1,0.36
"Luna","Samsung Galaxy","Support",22,"27%",,13,83,120,1.6,"61.6%","6.0%","23.4%","18%",-79,7,-2.1,0.8,"2.8%",135,"7.4%",,85,"8.7%",,1.34,0.25,0.33
"MadLife","CJ Entus","Support",42,"64%",,40,105,417,4.4,"74.7%","6.5%","20.5%","36%",9,-142,1.5,0.8,"2.9%",147,"7.0%",,103,"9.6%",,1.3,0.26,0.32
"MaRin","SK Telecom T1","Top",41,"85%",,168,85,249,4.9,"62.0%","25.0%","21.8%","37%",247,174,7.6,8.4,"28.9%",512,"24.9%",,274,"23.8%",,0.62,0.06,0.07
"Max","CJ Entus","Support",4,"0%",,0,17,9,0.5,"45.0%","0.0%","24.3%","0%",-35,-454,-1.8,0.7,"2.9%",70,"5.2%",,63,"7.6%",,1.13,0.19,0.29
"Mickey","Rebels Anarchy","Middle",46,"37%",,156,159,190,2.2,"72.1%","32.5%","21.5%","22%",28,-28,0.4,8.7,"30.3%",561,"32.6%",,253,"26.5%",,0.34,0.1,0.2
"Nagne","KT Rolster","Middle",36,"67%",,162,71,200,5.1,"71.0%","31.8%","21.6%","28%",96,20,3.8,9.1,"31.0%",553,"30.4%",,273,"26.2%",,0.4,0.08,0.17
"Neo","Incredible Miracle","Jungle",5,"40%",,2,14,21,1.6,"51.1%","4.4%","17.1%","40%",111,118,1.4,2.6,"8.0%",173,"9.1%",,139,"14.8%",,0.95,0.15,0.23
"Nuclear","SBENU Korea","ADC",42,"19%",,118,95,144,2.8,"75.1%","33.8%","14.2%","12%",-166,-234,-5.6,8.6,"31.8%",466,"28.1%",,238,"27.3%",,0.19,0.05,0.2
"Ohq","NaJin e-mFire","ADC",45,"58%",,198,76,233,5.7,"70.4%","32.4%","15.3%","27%",115,74,2.9,8.8,"31.0%",532,"29.9%",,277,"26.8%",,0.1,0.01,0.16
"Paragon","Incredible Miracle","ADC",1,"100%",,3,1,9,12,"52.2%","13.0%","11.1%","0%",-374,227,-17,7.8,"28.9%",453,"22.6%",,265,"22.7%",,0.2,0.06,0.22
