"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"ADD","MVP","Top",40,"33%","40%",48,102,150,1.9,"64.7%","15.7%","22.5%","15%",0,-123,-2.2,8.7,"24.6%",503,"26.9%",,256,"22.6%",,0.8,0.22,0.25
"Aiming","Kwangdong Freecs","ADC",7,"71%","29%",33,10,28,6.1,"79.2%","42.9%","22.7%","43%",-75,-29,-4.9,11.2,"32.4%",530,"29.4%",,340,"27.4%",,0.56,0.23,0.68
"Ambition","KSV eSports","Jungle",27,"52%","59%",30,65,114,2.2,"65.2%","13.6%","24.3%","22%",-53,-59,0.5,5.6,"13.3%",171,"9.6%",,188,"16.2%",,1.21,0.33,0.65
"Bang","SK Telecom T1","ADC",46,"50%","43%",139,35,197,9.6,"77.4%","32.0%","9.0%","22%",9,75,1.2,11.1,"30.8%",650,"34.2%",,323,"26.7%",,0.55,0.14,0.35
"Bdd","Kingzone DragonX","Middle",40,"83%","35%",132,48,234,7.6,"73.3%","26.5%","18.3%","30%",91,132,3.7,10.1,"25.2%",484,"23.6%",,307,"22.8%",,0.67,0.15,0.24
"Beyond","MVP","Jungle",40,"33%","68%",44,118,180,1.9,"73.2%","14.4%","26.0%","38%",39,135,-0.1,5.1,"11.9%",179,"9.5%",,176,"15.6%",,1.37,0.39,0.65
"Blank","SK Telecom T1","Jungle",24,"42%","63%",25,40,138,4.1,"83.6%","12.8%","21.7%","29%",-129,-193,-1.9,4.8,"10.7%",168,"9.3%",,174,"15.1%",,1.7,0.47,0.71
"Blossom","SK Telecom T1","Jungle",18,"61%","67%",25,57,110,2.4,"74.6%","13.8%","35.4%","39%",-162,-168,-3.6,5.3,"12.7%",169,"8.6%",,188,"15.6%",,1.64,0.3,0.7
"bonO","bbq Olivers","Jungle",8,"25%","50%",8,18,42,2.8,"68.5%","11.0%","21.2%","50%",11,37,-2.4,5.4,"12.8%",218,"11.9%",,195,"16.2%",,1.67,0.27,0.72
"CoreJJ","KSV eSports","Support",44,"50%","41%",22,71,235,3.6,"77.2%","6.6%","15.8%","20%",-26,-98,-0.7,2.1,"5.8%",123,"7.0%",,128,"10.8%",,1.48,0.47,0.47
"Crazy","bbq Olivers","Top",44,"39%","45%",79,72,156,3.3,"62.7%","21.1%","18.7%","18%",-33,30,2.4,8.9,"24.5%",434,"26.4%",,262,"22.9%",,0.69,0.17,0.25
"Crown","KSV eSports","Middle",44,"50%","52%",73,101,167,2.4,"72.1%","21.9%","22.5%","20%",-85,-5,1.8,9.5,"23.9%",491,"27.8%",,256,"22.6%",,0.7,0.29,0.33
"CuVee","KSV eSports","Top",44,"50%","48%",68,99,146,2.2,"64.3%","20.4%","22.0%","20%",-24,-17,-2.7,9.2,"25.0%",441,"24.5%",,264,"22.8%",,0.65,0.21,0.23
"Cuzz","Kingzone DragonX","Jungle",5,"100%","20%",13,9,25,4.2,"70.4%","24.1%","33.3%","60%",-13,-96,5.4,5.8,"13.2%",226,"10.7%",,235,"16.6%",,1.96,0.38,0.84
"Deft","KT Rolster","ADC",43,"65%","42%",125,60,177,5,"71.7%","29.7%","18.8%","23%",166,97,4.6,10.9,"30.1%",653,"33.0%",,324,"26.3%",,0.54,0.16,0.46
"Edge","Kongdoo Monster","Middle",41,"22%","49%",93,86,127,2.6,"75.3%","31.8%","18.0%","17%",11,-2,0.3,9.4,"26.1%",444,"27.8%",,250,"24.1%",,0.58,0.2,0.24
"Effort","SK Telecom T1","Support",19,"53%","68%",9,30,158,5.6,"83.1%","4.5%","20.3%","16%",-77,-96,-2.4,2.1,"5.9%",144,"7.3%",,152,"12.0%",,1.39,0.47,0.42
"Faker","SK Telecom T1","Middle",46,"50%","41%",141,83,213,4.3,"81.6%","32.5%","21.4%","20%",-57,5,-0.4,10.2,"27.6%",548,"29.6%",,296,"24.8%",,0.61,0.13,0.33
"Ghost","bbq Olivers","ADC",44,"39%","59%",109,76,147,3.4,"68.3%","29.1%","19.7%","25%",-62,-7,-3.4,10.2,"29.7%",445,"26.2%",,291,"25.1%",,0.46,0.15,0.47
"GorillA","Kingzone DragonX","Support",40,"83%","45%",16,68,324,5,"68.1%","3.2%","26.0%","25%",-11,26,2.2,2.2,"5.9%",139,"6.7%",,147,"11.0%",,1.51,0.49,0.4
"Haru","KSV eSports","Jungle",17,"47%","41%",26,39,52,2,"69.6%","23.2%","21.5%","24%",165,141,5.2,6.1,"15.4%",187,"10.5%",,206,"18.0%",,1.32,0.26,0.55
"Ian","MVP","Middle",40,"33%","68%",89,74,136,3,"73.5%","29.1%","16.3%","25%",71,-1,2.7,9.7,"26.2%",525,"27.6%",,266,"23.7%",,0.65,0.21,0.37
"IgNar","bbq Olivers","Support",44,"39%","59%",20,64,246,4.2,"70.9%","5.3%","16.6%","27%",19,36,-0.6,2.1,"6.2%",89,"5.3%",,135,"11.3%",,1.74,0.55,0.5
"Justice","Jin Air Green Wings","Middle",8,"38%","63%",17,13,37,4.2,"76.1%","23.9%","16.3%","38%",-127,-237,-11.4,8.9,"23.8%",387,"21.4%",,246,"22.6%",,0.75,0.34,0.42
"Key","ROX Tigers","Support",45,"49%","58%",24,98,279,3.1,"73.4%","5.8%","21.6%","16%",72,41,1.3,2.1,"6.1%",130,"7.1%",,139,"11.9%",,1.51,0.46,0.45
"Khan","Kingzone DragonX","Top",33,"88%","45%",92,44,167,5.9,"60.9%","21.6%","20.7%","21%",152,107,3.6,10.1,"27.4%",570,"27.4%",,329,"24.0%",,0.81,0.22,0.29
"Kiin","Kwangdong Freecs","Top",41,"68%","59%",68,56,153,3.9,"59.2%","18.2%","20.2%","17%",27,41,3.1,9.8,"25.6%",425,"24.0%",,293,"22.9%",,0.67,0.15,0.24
"Kramer","Kwangdong Freecs","ADC",34,"68%","50%",85,29,143,7.9,"77.0%","28.7%","12.4%","35%",48,-5,-0.6,11.3,"29.8%",547,"30.9%",,334,"25.8%",,0.59,0.19,0.62
"Kuro","Kwangdong Freecs","Middle",41,"68%","61%",113,54,179,5.4,"78.3%","30.3%","19.5%","22%",-56,-25,-4,10.1,"25.7%",505,"28.3%",,296,"23.4%",,0.73,0.21,0.42
"Kuzan","ROX Tigers","Middle",2,"0%","50%",0,7,1,0.1,"16.7%","0.0%","29.2%","0%",-93,-93,8.5,9.3,"23.9%",365,"26.6%",,232,"23.3%",,0.64,0.21,0.38
"Lava","ROX Tigers","Middle",43,"51%","44%",143,86,176,3.7,"78.4%","35.1%","20.0%","37%",94,80,-1.5,9.4,"25.1%",565,"30.7%",,276,"23.5%",,0.61,0.14,0.3
"Lindarang","ROX Tigers","Top",45,"49%","40%",76,92,184,2.8,"63.0%","18.4%","20.3%","40%",79,-24,-1.2,8.5,"23.7%",418,"23.3%",,256,"21.9%",,0.63,0.1,0.15
