"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"ADD","MVP","Top",36,"28%","50%",45,83,128,2.1,"66.3%","17.2%","21.8%","19%",-65,-149,-2.1,8.9,"26.9%",412,"25.1%",,238,"23.7%",,0.51,0.17,0.2
"Aiming","Kwangdong Freecs","ADC",35,"60%","43%",97,51,165,5.1,"71.4%","26.4%","18.0%","29%",-168,-228,-7.9,9.7,"28.4%",419,"25.2%",,296,"25.4%",,0.59,0.19,0.31
"Alphamong","Gen.G","Top",1,"0%","0%",2,3,1,1,"75.0%","50.0%","20.0%","100%",581,51,1,8.6,"28.3%",137,"10.2%",,230,"23.0%",,0.38,0.08,0
"Ambition","Gen.G","Jungle",26,"62%","38%",23,49,124,3,"74.2%","11.6%","23.6%","23%",-88,-2,1.5,5.1,"12.5%",148,"9.1%",,176,"16.0%",,0.48,0.33,0.45
"Asper","Hanwha Life Esports","Support",1,"0%","100%",1,2,5,3,"60.0%","10.0%","20.0%","0%",-319,316,10,2,"6.8%",65,"4.4%",,133,"11.3%",,1.98,0.7,0.6
"Bang","SK Telecom T1","ADC",41,"46%","51%",89,53,169,4.9,"70.1%","24.2%","12.6%","29%",-47,-32,-4.3,9.8,"28.0%",566,"32.5%",,283,"25.2%",,0.52,0.16,0.26
"Bdd","Kingzone DragonX","Middle",43,"65%","47%",128,66,189,4.8,"70.4%","28.4%","17.5%","21%",23,-58,1.6,9.1,"24.7%",449,"25.2%",,268,"22.8%",,0.5,0.2,0.15
"Beyond","MVP","Jungle",41,"27%","49%",63,101,159,2.2,"76.0%","21.6%","23.0%","37%",-94,-68,0,4.7,"12.0%",177,"11.4%",,162,"16.0%",,0.61,0.31,0.36
"Blank","SK Telecom T1","Jungle",39,"49%","54%",47,77,218,3.4,"73.6%","13.1%","19.6%","44%",-40,-96,-2.6,4.7,"11.9%",179,"10.0%",,176,"15.6%",,0.74,0.47,0.46
"Blossom","SK Telecom T1","Jungle",5,"20%","60%",10,15,12,1.5,"64.7%","29.4%","23.4%","60%",369,166,4.6,6.5,"19.1%",311,"20.5%",,216,"21.8%",,0.31,0.25,0.42
"bonO","bbq Olivers","Jungle",7,"0%","71%",6,33,31,1.1,"80.4%","13.0%","34.7%","14%",-630,-582,-26.4,4.2,"11.7%",169,"13.9%",,144,"15.1%",,0.43,0.33,0.38
"Chovy","Griffin","Middle",33,"70%","48%",115,31,166,9.1,"71.1%","29.1%","14.4%","15%",-30,-43,-2.2,9.7,"27.1%",437,"25.7%",,288,"24.4%",,0.45,0.11,0.25
"Clever","Hanwha Life Esports","ADC",1,"0%","0%",3,2,5,4,"80.0%","30.0%","20.0%","0%",146,-203,6,9.3,"25.5%",421,"28.6%",,296,"25.1%",,0.5,0.05,0.1
"CoreJJ","Gen.G","Support",44,"64%","52%",18,72,261,3.9,"73.8%","4.8%","20.7%","16%",6,8,-1.3,1.4,"4.4%",125,"7.6%",,110,"9.6%",,1.48,0.5,0.36
"Crazy","bbq Olivers","Top",43,"21%","37%",66,81,112,2.2,"60.3%","22.4%","18.5%","7%",-79,-101,0.4,8.5,"25.1%",343,"24.2%",,227,"22.8%",,0.5,0.15,0.16
"Crown","Gen.G","Middle",3,"67%","67%",4,4,8,3,"66.7%","22.2%","15.4%","0%",-43,28,-1,9.2,"24.6%",537,"34.2%",,243,"23.4%",,0.56,0.23,0.15
"CuVee","Gen.G","Top",43,"65%","47%",72,74,154,3.1,"60.4%","19.3%","22.2%","14%",-45,-19,-2,9.4,"26.8%",393,"23.5%",,270,"23.5%",,0.5,0.19,0.17
"Cuzz","Kingzone DragonX","Jungle",13,"46%","38%",14,35,55,2,"67.0%","13.6%","24.0%","31%",54,96,4.8,6.1,"16.1%",205,"14.1%",,210,"19.3%",,0.41,0.32,0.47
"Deft","KT Rolster","ADC",43,"67%","58%",98,65,190,4.4,"65.8%","22.4%","17.0%","26%",62,2,1,9.7,"27.6%",576,"31.5%",,288,"24.8%",,0.47,0.13,0.27
"Effort","SK Telecom T1","Support",38,"53%","61%",44,93,206,2.7,"69.3%","12.2%","25.5%","32%",14,-25,1.4,1.7,"5.0%",125,"7.1%",,120,"10.4%",,1.6,0.54,0.44
"Faker","SK Telecom T1","Middle",25,"40%","64%",63,55,110,3.1,"74.9%","27.3%","19.3%","28%",126,143,3.4,9.6,"28.0%",449,"25.6%",,274,"24.7%",,0.48,0.14,0.26
"Fly","Gen.G","Middle",41,"63%","56%",95,55,172,4.9,"74.2%","26.4%","17.1%","15%",27,72,0.4,8.4,"22.0%",382,"23.0%",,246,"21.6%",,0.5,0.22,0.21
"Ghost","bbq Olivers","ADC",39,"23%","38%",56,81,118,2.1,"65.4%","21.1%","21.7%","15%",-94,-137,-4.2,9.2,"27.4%",382,"26.2%",,247,"24.6%",,0.54,0.21,0.22
"GorillA","Kingzone DragonX","Support",43,"65%","40%",36,86,247,3.3,"62.9%","8.0%","22.8%","28%",38,-21,0.4,1.5,"4.6%",118,"7.2%",,113,"9.6%",,1.47,0.48,0.36
"Haru","Gen.G","Jungle",18,"67%","56%",46,37,77,3.3,"68.3%","25.6%","26.4%","39%",237,305,9,6.1,"17.3%",246,"14.1%",,231,"19.3%",,0.41,0.32,0.44
"Hoon","Hanwha Life Esports","Top",1,"0%","0%",3,2,4,3.5,"70.0%","30.0%","20.0%","100%",1019,393,24,8.8,"27.3%",359,"24.4%",,281,"23.8%",,0.47,0.1,0.42
"Ian","MVP","Middle",41,"27%","39%",88,81,138,2.8,"77.4%","30.1%","18.4%","20%",-68,-178,-4.9,8.6,"24.7%",390,"23.8%",,237,"23.7%",,0.59,0.25,0.24
"IgNar","bbq Olivers","Support",43,"21%","56%",24,75,178,2.7,"68.5%","8.1%","17.2%","21%",-16,-11,-0.3,1.8,"6.1%",122,"8.5%",,102,"10.1%",,1.63,0.57,0.41
"Justice","Jin Air Green Wings","Middle",1,"0%","100%",0,1,0,0,,,"12.5%","0%",-62,280,-7,9.2,"23.9%",225,"13.2%",,209,"21.4%",,0.62,0.5,0.2
"KaKAO","Jin Air Green Wings","Jungle",4,"0%","25%",1,9,4,0.6,"41.7%","8.3%","23.7%","0%",-1,233,15.5,4.4,"9.7%",80,"7.1%",,127,"13.9%",,0.61,0.41,0.36
"Key","Hanwha Life Esports","Support",45,"56%","49%",25,74,273,4,"71.1%","6.0%","17.7%","27%",-18,-19,0.3,1.8,"5.8%",123,"7.7%",,120,"10.6%",,1.53,0.55,0.44
"Khan","Kingzone DragonX","Top",40,"63%","58%",98,73,132,3.2,"56.7%","24.1%","20.5%","28%",219,119,4.8,9.3,"26.2%",450,"27.3%",,277,"23.6%",,0.56,0.24,0.21
"Kiin","Kwangdong Freecs","Top",46,"57%","39%",114,74,174,3.9,"62.1%","24.6%","19.9%","20%",113,111,5.5,9.6,"28.0%",450,"27.2%",,286,"25.1%",,0.52,0.15,0.19
"Kingen","KT Rolster","Top",1,"0%","100%",1,3,2,1,"100.0%","33.3%","42.9%","0%",-736,-903,-18,8,"24.1%",141,"10.8%",,194,"21.3%",,0.63,0.32,0.2
"Kramer","Kwangdong Freecs","ADC",11,"45%","18%",22,10,47,6.9,"71.1%","22.7%","11.2%","18%",-204,-301,-12.4,9.5,"28.5%",356,"22.1%",,273,"25.3%",,0.59,0.17,0.28
