"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Juhan","DRX","Jungle",15,"40%","20%",17,46,72,1.9,"67.9%","13.0%","24.5%","33%",-126,-130,-2.1,5.1,"12.9%",252,"13.9%","14.4%",178,"16.8%",2,0.42,0.42,0.44
"Moham","Kwangdong Freecs","Support",21,"43%","52%",8,58,150,2.7,"77.5%","3.9%","22.4%","14%",-192,-45,1,0.9,"2.5%",200,"9.9%","8.2%",96,"8.5%",0,1.72,0.51,0.47
"Jun","Kwangdong Freecs","Support",24,"33%","46%",10,61,134,2.4,"68.6%","4.8%","20.8%","17%",14,185,-1.7,0.9,"3.3%",245,"12.4%","11.1%",108,"9.7%",0,1.06,0.46,0.48
"Croco","DRX","Jungle",29,"21%","52%",41,90,113,1.7,"70.6%","18.8%","21.7%","17%",-138,65,1.9,4.9,"13.1%",325,"15.5%","17.1%",164,"16.6%",2,0.26,0.32,0.41
"deokdam","DRX","ADC",38,"29%","63%",84,86,114,2.3,"64.5%","27.4%","16.5%","8%",-342,-122,-8.6,8.9,"30.1%",493,"24.7%","27.5%",268,"25.9%",0,0.39,0.18,0.36
"FIESTA","Nongshim RedForce","Middle",38,"18%","53%",78,114,131,1.8,"63.7%","23.8%","23.1%","18%",-72,-55,-2.4,8.4,"25.1%",511,"27.1%","26.7%",241,"23.8%",0,0.35,0.27,0.26
"Canna","Dplus KIA","Top",40,"65%","50%",92,65,163,3.9,"52.5%","18.9%","21.5%","18%",111,63,2.5,8.5,"24.5%",470,"20.3%","18.7%",257,"22.0%",1,0.33,0.24,0.18
"Canyon","Dplus KIA","Jungle",40,"65%","53%",86,67,244,4.9,"67.9%","17.7%","22.1%","45%",95,26,-0.8,5.6,"15.7%",314,"14.0%","15.8%",201,"17.3%",4,0.42,0.38,0.45
"Deft","Dplus KIA","ADC",40,"65%","65%",166,56,179,6.2,"71.0%","34.2%","18.5%","38%",210,119,6.2,10.1,"32.9%",664,"29.3%","31.5%",329,"28.2%",1,0.38,0.17,0.39
"Kellin","Dplus KIA","Support",40,"65%","43%",28,57,364,6.9,"80.7%","5.8%","18.8%","48%",168,60,-2.6,0.6,"2.1%",223,"9.8%","7.2%",114,"9.6%",0,1.51,0.53,0.37
"ShowMaker","Dplus KIA","Middle",40,"65%","48%",114,58,206,5.5,"65.8%","23.5%","19.1%","15%",63,0,0.8,8.8,"24.8%",601,"26.7%","26.8%",267,"22.9%",0,0.38,0.28,0.29
"DnDn","Nongshim RedForce","Top",42,"21%","52%",67,113,146,1.9,"57.9%","18.2%","21.0%","14%",-177,-73,-5,8.2,"25.7%",427,"23.0%","20.2%",234,"22.9%",1,0.35,0.28,0.16
"Peter","Nongshim RedForce","Support",42,"21%","40%",25,88,268,3.3,"79.6%","6.8%","16.4%","17%",-132,65,2.5,0.8,"2.4%",135,"7.3%","5.7%",90,"8.9%",0,1.22,0.46,0.33
"Sylvie","Nongshim RedForce","Jungle",42,"21%","50%",72,122,188,2.1,"70.7%","19.6%","22.7%","21%",-117,-50,-1.2,5,"12.9%",266,"14.2%","15.4%",172,"17.2%",2,0.35,0.38,0.42
"vital","Nongshim RedForce","ADC",42,"21%","55%",113,93,130,2.6,"66.0%","30.7%","17.3%","19%",-261,-241,-9.3,9.6,"33.7%",548,"28.3%","31.8%",280,"27.1%",0,0.31,0.14,0.39
"Aiming","KT Rolster","ADC",43,"65%","51%",163,51,168,6.5,"66.5%","32.7%","15.4%","21%",42,130,-0.6,10.2,"33.5%",566,"28.6%","32.3%",332,"28.1%",0,0.37,0.15,0.46
"Bdd","KT Rolster","Middle",43,"65%","56%",131,60,184,5.3,"63.3%","26.3%","18.1%","19%",103,22,0.1,8.7,"23.7%",474,"24.5%","24.5%",268,"22.8%",0,0.3,0.2,0.19
"Chovy","Gen.G","Middle",43,"70%","53%",155,65,242,6.1,"65.9%","25.7%","15.7%","16%",32,71,3.1,9.2,"25.9%",640,"27.3%","28.1%",299,"24.0%",0,0.35,0.18,0.35
"Cuzz","KT Rolster","Jungle",43,"65%","37%",91,72,251,4.8,"68.7%","18.3%","21.7%","30%",33,-76,-0.8,5.7,"15.4%",287,"14.6%","16.0%",201,"17.0%",6,0.3,0.3,0.58
"Delight","Gen.G","Support",43,"70%","56%",36,79,419,5.8,"75.6%","6.0%","19.1%","40%",78,9,0,0.9,"2.6%",211,"9.1%","7.4%",125,"10.0%",0,1.29,0.41,0.44
"Doran","Gen.G","Top",43,"70%","44%",105,99,245,3.5,"58.1%","17.4%","24.0%","19%",14,-11,0.8,8.3,"23.6%",516,"22.7%","20.8%",276,"22.3%",0,0.32,0.25,0.23
"Faker","T1","Middle",43,"81%","37%",133,87,240,4.3,"60.5%","21.6%","21.7%","23%",150,16,2.2,8.2,"23.3%",632,"26.6%","26.7%",269,"21.4%",0,0.33,0.18,0.23
"Gumayusi","T1","ADC",43,"81%","35%",172,79,227,5.1,"64.7%","27.9%","19.7%","16%",339,129,7.8,9.8,"31.8%",605,"25.4%","27.3%",332,"26.2%",1,0.35,0.19,0.36
"Keria","T1","Support",43,"81%","53%",54,66,402,6.9,"73.9%","8.8%","16.5%","26%",204,63,0.1,0.9,"3.1%",278,"11.4%","9.8%",144,"11.4%",0,1.42,0.5,0.43
"Kiin","KT Rolster","Top",43,"65%","49%",92,64,173,4.1,"53.2%","18.5%","19.3%","21%",205,219,5.5,8.8,"25.3%",468,"23.5%","20.3%",275,"23.2%",0,0.34,0.21,0.21
"Lehends","KT Rolster","Support",43,"65%","60%",21,85,323,4,"69.1%","4.2%","25.6%","30%",-87,-66,2,0.8,"2.1%",171,"8.8%","6.9%",105,"8.8%",1,1.27,0.48,0.35
"Oner","T1","Jungle",43,"81%","63%",130,89,296,4.8,"69.0%","21.1%","22.2%","51%",181,36,0.9,5.3,"15.1%",332,"13.7%","14.7%",225,"17.8%",5,0.33,0.3,0.42
"Peanut","Gen.G","Jungle",43,"70%","56%",97,102,310,4,"67.6%","16.1%","24.7%","49%",35,11,-0.5,5.6,"15.2%",326,"13.9%","14.7%",208,"16.9%",2,0.27,0.27,0.51
"Peyz","Gen.G","ADC",43,"70%","33%",209,68,201,6,"68.1%","34.7%","16.5%","35%",60,-6,-0.6,10,"32.8%",628,"27.0%","29.0%",331,"26.7%",0,0.38,0.15,0.43
"Zeus","T1","Top",43,"81%","51%",128,80,177,3.8,"49.4%","20.7%","20.0%","19%",177,34,6.6,8.9,"26.7%",553,"22.9%","21.5%",294,"23.2%",0,0.34,0.22,0.17
